{ID, description}
{0, big mario}{1, small mario}{2, big fire mario}{3, small fire mario}{4, big invincibility color 1}{5, small invincibility color 1}{6, big invincibility color 2}{7, small invincibility color 2}
{Index, description}
{0, stand}{1, run}{2, c.dir}{3, jump}{4, sit}{5, dead}{6,big small stand}{7, run fire}{8, c.dir fire}{9, jump fire}
ID	Index	X	Y	Width	Height
0	0	80	0	16	32
0	1	96	0	16	32
0	1	112	0	16	32
0	1	128	0	16	32
0	2	144	0	16	32
0	3	160	0	16	32
0	4	176	10	16	22
0	6	320	8	16	24
1	0	80	32	15	16
1	1	97	32	15	16
1	1	112	32	15	16
1	1	128	32	15	16
1	2	145	32	15	16
1	3	160	32	16	16
1	5	176	32	16	16
2	0	80	96	16	32
2	1	96	96	16	32
2	1	112	96	16	32
2	1	128	96	16	32
2	2	144	96	16	32
2	3	160	96	16	32
2	4	176	106	16	22
2	7	336	96	16	32
2	7	354	96	14	32
2	7	368	96	16	32
2	8	385	96	16	32
2	9	400	96	16	32
3	0	80	128	15	16
3	1	97	128	15	16
3	1	112	128	15	16
3	1	128	128	15	16
3	2	145	128	15	16
3	3	160	128	16	16
4	0	80	144	16	32
4	1	97	144	16	32
4	1	112	144	16	32
4	1	128	144	16	32
4	2	145	144	16	32
4	3	160	144	16	32
4	4	176	154	16	22
5	0	80	176	15	16
5	1	97	176	15	16
5	1	112	176	15	16
5	1	128	176	15	16
5	2	145	176	15	16
5	3	160	176	16	16
6	0	80	192	16	32
6	1	97	192	16	32
6	1	112	192	16	32
6	1	128	192	16	32
6	2	145	192	16	32
6	3	160	192	16	32
6	4	176	202	16	22
7	0	80	224	15	16
7	1	97	224	15	16
7	1	112	224	15	16
7	1	128	224	15	16
7	2	145	224	15	16
7	3	160	224	16	16
